URL	English	French
http://app.corkcrm.com/appointments	abbreviation for march	Mar.
http://app.corkcrm.com/appointments	abbreviation for april	Avr.
http://app.corkcrm.com/appointments	abbreviation for may	Mai
http://app.corkcrm.com/appointments	abbreviation for june	Juin
http://app.corkcrm.com/appointments	abbreviation for july	Jui.
http://app.corkcrm.com/appointments	abbreviation for august	Août
http://app.corkcrm.com/appointments	month	Mois
http://app.corkcrm.com/appointments	week	Semaine
http://app.corkcrm.com/appointments	day	Jour
http://app.corkcrm.com/appointments	all-day	Toute la journée
http://app.corkcrm.com/appointments	job	Projet
http://app.corkcrm.com/appointments	user	Utilisateur
http://app.corkcrm.com/appointments	start time	Début des travaux
http://app.corkcrm.com/appointments	end time	Fin des travaux
http://app.corkcrm.com/appointments	notes	Notes
http://app.corkcrm.com/appointments	send reminder	Envoyer rappel
http://app.corkcrm.com/appointments	email customer 48 hours before the appointment	Envoyer courriel au client 48 heures avant le rendez-vous
http://app.corkcrm.com/appointments	cancel	Annuler
http://app.corkcrm.com/appointments	save	Sauvegarder
http://app.corkcrm.com/appointments	Copy and paste the following url into your calendar application:	Copier et coller l'adresse URL suivante dans votre calendrier
http://app.corkcrm.com/appointments	In Google Calendar, add this under Other calendars → Add by URL 	Dans le Calendrier Google, ajouter ceci sous Autres Calendriers --> Ajouter par l'URL
http://app.corkcrm.com/appointments	In Calendar.app on a Mac, add this under File → New Calendar Subscription...	Dans l'application Calendrier sur un Mac, ajouter ce fichier sous --> Nouvelle inscription au Calendrier
http://app.corkcrm.com/appointments	Or download the .ics file: 	Ou télécharger le fichier .ics
http://app.corkcrm.com/appointments	close	Fermer
http://app.corkcrm.com/appointments	Leave blank to create an availability	Laisser vide pour créer une disponibilité
http://app.corkcrm.com/appointments	time	Temps
http://app.corkcrm.com/appointments	hour 	Heure
http://app.corkcrm.com/appointments	minute 	Minute
http://app.corkcrm.com/appointments	now	Maintenant
http://app.corkcrm.com/appointments	done	Terminé

http://app.corkcrm.com/proposals	Proposals	Soumissions
http://app.corkcrm.com/proposals	accepted	Acceptée
http://app.corkcrm.com/proposals	declined	Refusée
http://app.corkcrm.com/proposals	new proposal	Nouvelle soumission
http://app.corkcrm.com/proposals	#	# (numéro)
http://app.corkcrm.com/proposals	Proposal	Soumission
http://app.corkcrm.com/proposals	Contact	Contact
http://app.corkcrm.com/proposals	Budget	Budget
http://app.corkcrm.com/proposals	Assigned to	Assigné à
http://app.corkcrm.com/proposals	Next communications	Prochaines communications
http://app.corkcrm.com/proposals	Actions	Actions
http://app.corkcrm.com/proposals	view contract	Voir contrat
http://app.corkcrm.com/proposals	email proposal	Envoyer la soumission par courriel
http://app.corkcrm.com/proposals	view contract portal	Voir portail du contrat
http://app.corkcrm.com/proposals	update contact details	Mettre à jour les informations du client
http://app.corkcrm.com/proposals	communicate	Communiquer
http://app.corkcrm.com/proposals	start new	Commencer nouvelle
http://app.corkcrm.com/proposals	plan future	Plan futur
http://app.corkcrm.com/proposals	issue proposal	Émettre soumission
http://app.corkcrm.com/proposals	mark as declined	Marquer comme refusée
http://app.corkcrm.com/proposals	start communication	Commencer communication
http://app.corkcrm.com/proposals	details	Détails
http://app.corkcrm.com/proposals	communication history	Historique des communications
http://app.corkcrm.com/proposals	no past communication on this lead	Aucune communication antérieure pour ce client potentiel
http://app.corkcrm.com/proposals	action	Action
http://app.corkcrm.com/proposals	call	Appeler
http://app.corkcrm.com/proposals	email	Envoyer courriel
http://app.corkcrm.com/proposals	notes	Notes
http://app.corkcrm.com/proposals	outcome	Résultat
http://app.corkcrm.com/proposals	answered	Répondu
http://app.corkcrm.com/proposals	no answer	Aucune réponse
http://app.corkcrm.com/proposals	left message	Message laissé
http://app.corkcrm.com/proposals	next step	Prochaine étape
http://app.corkcrm.com/proposals	dead lead	Client potentiel nul
http://app.corkcrm.com/proposals	call back on…	Rappeler le…
http://app.corkcrm.com/proposals	call back around…	Rappeler autour du…
http://app.corkcrm.com/proposals	schedule appointment 	Planifier un rendez-vous
http://app.corkcrm.com/proposals	schedule job	Planifier un projet
http://app.corkcrm.com/proposals	cancel	Annuler
http://app.corkcrm.com/proposals	complete	Compléter
http://app.corkcrm.com/proposals	future communication	Communication à venir
http://app.corkcrm.com/proposals	communication method	Méthode de communication
http://app.corkcrm.com/proposals	date & time	Date et heure
http://app.corkcrm.com/proposals	exact time	Heure exacte
http://app.corkcrm.com/proposals	show this as an exact time rather than an approximate time.	Montrer comme un temps exact plutôt qu'un temps approximatif
http://app.corkcrm.com/proposals	cancel	Annuler
http://app.corkcrm.com/proposals	save	Sauvegarder
http://app.corkcrm.com/proposals	untitled job	Projet sans titre
http://app.corkcrm.com/proposals	next 	Suivant
http://app.corkcrm.com/proposals	last	Précédent
http://app.corkcrm.com/proposals	exterior painting proposal	Soumission de peinture extérieure
http://app.corkcrm.com/proposals	interior painting proposal	Soumission de peinture intérieure
http://app.corkcrm.com/proposals	deck staining proposal	Soumission de teinture de patio
http://app.corkcrm.com/proposals	change order	Changer la commande

http://app.corkcrm.com/leads/import	upload a leads spreadsheet	Télécharger une liste de clients potentiels
http://app.corkcrm.com/leads/import	The import only accepts .csv files. If you are using Excel, just save your file as a CSV file to import it into the system. The first row in your CSV must be a header row with the column names describing the data.	L’importation accepte seulement les fichiers .csv. Si vous utilisez Excel, sauvegardez votre fichier comme un fichier CSV pour l’importer dans le système. La première rangée dans votre CSV doit être une rangée d’en-tête avec les noms des colonnes qui décrivent les données.
http://app.corkcrm.com/leads/import	choose file	Choisir un fichier

http://app.corkcrm.com/contacts/new_lead	name	Nom
http://app.corkcrm.com/contacts/new_lead	company	Compagnie
http://app.corkcrm.com/contacts/new_lead	phone number	Numéro de téléphone
http://app.corkcrm.com/contacts/new_lead	email	Courriel
http://app.corkcrm.com/contacts/new_lead	street address	Adresse
http://app.corkcrm.com/contacts/new_lead	street address 2	Adresse secondaire
http://app.corkcrm.com/contacts/new_lead	Postal code	Code postal
http://app.corkcrm.com/contacts/new_lead	City	Ville
http://app.corkcrm.com/contacts/new_lead	State/ Region	Province/Région
http://app.corkcrm.com/contacts/new_lead	Country	Pays
http://app.corkcrm.com/contacts/new_lead	lead details 	Information du client potentiel
http://app.corkcrm.com/contacts/new_lead	lead source	Source du client potentiel
http://app.corkcrm.com/contacts/new_lead	details 	Détails
http://app.corkcrm.com/contacts/new_lead	send welcome email	Envoyer courriel de Bienvenue
http://app.corkcrm.com/contacts/new_lead	When checked, an email is sent to contact after saving lead	Lorsque vérifié, un courriel est envoyé au contact après la sauvegarde du client potentiel
http://app.corkcrm.com/contacts/new_lead	save lead	Sauvegarder client potentiel
http://app.corkcrm.com/contacts/new_lead	plan next communication?	Planifier prochaine communication ?
http://app.corkcrm.com/contacts/new_lead	on 	Ouvert
http://app.corkcrm.com/contacts/new_lead	off	Fermé

http://app.corkcrm.com/leads/sources	Web form	Formulaire en ligne
http://app.corkcrm.com/leads/sources	cold call	Appel à froid
http://app.corkcrm.com/leads/sources	referral	Référence
http://app.corkcrm.com/leads/sources	name	Nom
http://app.corkcrm.com/leads/sources	leads 	Clients potentiels
http://app.corkcrm.com/leads/sources	actions	Actions
http://app.corkcrm.com/leads/sources	edit	Modifier
http://app.corkcrm.com/leads/sources	delete	Supprimer
http://app.corkcrm.com/leads/sources	add lead source	Ajouter la source du client potentiel
http://app.corkcrm.com/leads/sources	name	Nom
http://app.corkcrm.com/leads/sources	save	Sauvegarder
http://app.corkcrm.com/leads/sources	your lead source was successfully added.	La source de votre client potentiel a été ajoutée avec succès
http://app.corkcrm.com/leads/sources	your lead source was successfully deleted.	La source de votre client potentiel a été supprimée avec succès

http://app.corkcrm.com/communications	schedule a communication 	Planifier une communication
http://app.corkcrm.com/communications	communications	Communications
http://app.corkcrm.com/communications	list 	Liste
http://app.corkcrm.com/communications	schedule	Planifier
http://app.corkcrm.com/communications	all 	Tous
http://app.corkcrm.com/communications	planned	Planifiés
http://app.corkcrm.com/communications	records	Rapports
http://app.corkcrm.com/communications	filter by date	Filtrer par date
http://app.corkcrm.com/communications	filter by job	Filtrer par projet
http://app.corkcrm.com/communications	contact details	Informations du contact
http://app.corkcrm.com/communications	employee	Employé
http://app.corkcrm.com/communications	note	Note
http://app.corkcrm.com/communications	outcome	Résultat
http://app.corkcrm.com/communications	next steps	Prochaines étapes
http://app.corkcrm.com/communications	actions	Actions
http://app.corkcrm.com/communications	start communication	Débuter communication
http://app.corkcrm.com/communications	edit communication	Modifier communication
http://app.corkcrm.com/communications	delete communication	Supprimer communication
http://app.corkcrm.com/communications	view contact	Voir contact
http://app.corkcrm.com/communications	edit contact	Modifier contact
http://app.corkcrm.com/communications	view job	Voir projet
http://app.corkcrm.com/communications	edit job	Modifier projet

http://app.corkcrm.com/jobs/4/edit	title	Titre
http://app.corkcrm.com/jobs/4/edit	contact	Contact
http://app.corkcrm.com/jobs/4/edit	start date	Date de début
http://app.corkcrm.com/jobs/4/edit	end date	Date de fin
http://app.corkcrm.com/jobs/4/edit	crew	Équipe
http://app.corkcrm.com/jobs/4/edit	additional crew	Équipe additionnelle
http://app.corkcrm.com/jobs/4/edit	details	Détails
http://app.corkcrm.com/jobs/4/edit	estimated amount	Montant estimé
http://app.corkcrm.com/jobs/4/edit	save job	Sauvegarder projet

http://app.corkcrm.com/owner/proposal_templates	Proposal Templates	Modèles de soumission
http://app.corkcrm.com/owner/proposal_templates	Name	Nom
http://app.corkcrm.com/owner/proposal_templates	Status	Statut
http://app.corkcrm.com/owner/proposal_templates	Actions	Actions
http://app.corkcrm.com/owner/proposal_templates	Edit	Modifier
http://app.corkcrm.com/owner/proposal_templates	Enabled	Validé
http://app.corkcrm.com/owner/proposal_templates	Disabled	Invalidé

http://app.corkcrm.com/owner/proposal_templates/19/edit	Edit	Modifier
http://app.corkcrm.com/owner/proposal_templates/19/edit	edit contract	Modifier contrat
http://app.corkcrm.com/owner/proposal_templates/19/edit	delete template	Supprimer le modèle
http://app.corkcrm.com/owner/proposal_templates/19/edit	Proposal template options	Options du modèle de soumission
http://app.corkcrm.com/owner/proposal_templates/19/edit	template name	Nom du modèle
http://app.corkcrm.com/owner/proposal_templates/19/edit	proposal class	Type de soumission
http://app.corkcrm.com/owner/proposal_templates/19/edit	specialty	Spécialité
http://app.corkcrm.com/owner/proposal_templates/19/edit	proposals can be created from this template	Les soumissions peuvent être créées à partir de ce modèle
http://app.corkcrm.com/owner/proposal_templates/19/edit	on 	Ouvert
http://app.corkcrm.com/owner/proposal_templates/19/edit	off	Fermé
http://app.corkcrm.com/owner/proposal_templates/19/edit	revision history	Réviser historique
http://app.corkcrm.com/owner/proposal_templates/19/edit	restore this version	Rétablir cette version
http://app.corkcrm.com/owner/proposal_templates/19/edit	update template	Mettre à jour le modèle
http://app.corkcrm.com/owner/proposal_templates/19/edit	add section	Ajouter une section
http://app.corkcrm.com/owner/proposal_templates/19/edit	collapse all	Tout effacer
http://app.corkcrm.com/owner/proposal_templates/19/edit	expand all	Tout aggrandir
http://app.corkcrm.com/owner/proposal_templates/19/edit	add item	Ajouter un article
http://app.corkcrm.com/owner/proposal_templates/19/edit	edit section	Modifier section
http://app.corkcrm.com/owner/proposal_templates/19/edit	collapse	Effacer
http://app.corkcrm.com/owner/proposal_templates/19/edit	move up	Monter
http://app.corkcrm.com/owner/proposal_templates/19/edit	move down	Descendre
http://app.corkcrm.com/owner/proposal_templates/19/edit	drag	Traîner
http://app.corkcrm.com/owner/proposal_templates/19/edit	name	Nom
http://app.corkcrm.com/owner/proposal_templates/19/edit	proposal template sections	Sections des modèles de proposition

http://app.corkcrm.com/owner/proposal_templates/19/sections/new	new section	Nouvelle section
http://app.corkcrm.com/owner/proposal_templates/19/sections/new	background color	Couleur de fond
http://app.corkcrm.com/owner/proposal_templates/19/sections/new	text color	Couleur du texte
http://app.corkcrm.com/owner/proposal_templates/19/sections/new	default description	Description par défaut
http://app.corkcrm.com/owner/proposal_templates/19/sections/new	should this section contain an option to include or exclude specific items?	Est-ce que cette section devrait contenir l’option d’inclure ou d’exclure des articles spécifiques ?
http://app.corkcrm.com/owner/proposal_templates/19/sections/new	position	Position
http://app.corkcrm.com/owner/proposal_templates/19/sections/new	save	Sauvegarder

http://app.corkcrm.com/owner/proposal_templates/19/sections/26/items/new	work item description	Description de l'article de travail
http://app.corkcrm.com/owner/proposal_templates/19/sections/26/items/new	default text to be included in the notes text box	Le texte par défault doit être inclut dans la banque de notes
http://app.corkcrm.com/owner/proposal_templates/19/sections/26/items/new	help text	Texte d'aide
http://app.corkcrm.com/owner/proposal_templates/19/sections/26/items/new	default option	Option par défaut
http://app.corkcrm.com/owner/proposal_templates/19/sections/26/items/new	N/A	N/D
http://app.corkcrm.com/owner/proposal_templates/19/sections/26/items/new	include 	Inclus
http://app.corkcrm.com/owner/proposal_templates/19/sections/26/items/new	exclude	Exclus

http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	edit contract	Modifier contrat
http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	contract agreement	Entente du contrat
http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	save contract	Sauvegarder contrat
http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	Available Tokens	Crédits disponibles
http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	When a proposal is generated, the tokens below are replaced with their corresponding values. For example, if the proposal's total is $500, that amount will be filled in for each {{proposal_total}}	Lorsqu’une soumission est produite, les crédits ci-dessous sont remplacés par leurs valeurs correspondantes. Par exemple, si le total de la soumission est égal à 500$, ce montant va être remplacé pour chaque {{proposal_total}}
http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	{{customer_first_name}} 	Prénom du client
http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	{{customer_last_name}} 	Nom du client
http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	{{customer_address}} 	Adresse du client
http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	{{customer_phone_number}} 	Numéro de téléphone du client
http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	{{contractor_first_name}} 	Prénom de l'entrepreneur
http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	{{contractor_last_name}} 	Nom de l'entrepreneur
http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	{{contractor_phone_number}} 	Numéro de téléphone de l'entrepreneur
http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	{{proposal_total}} 	Total de la soumission
http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	{{proposal_notes}} 	Notes de la soumission
http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	{{your_billing_address}} 	Adresse de facturation
http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	{{your_billing_city}} 	Ville de facturation
http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	{{your_billing_state}}	Province de facturation
http://app.corkcrm.com/owner/proposal_templates/19/edit_contract	view pdf	Voir pdf

http://app.corkcrm.com/jobs	jobs	Projets
http://app.corkcrm.com/jobs	unscheduled	Non planifié
http://app.corkcrm.com/jobs	scheduled	Planifié
http://app.corkcrm.com/jobs	completed	Complété
http://app.corkcrm.com/jobs	list	Liste
http://app.corkcrm.com/jobs	schedule	Calendrier
http://app.corkcrm.com/jobs	job/ contact	Projet/Contact
http://app.corkcrm.com/jobs	proposal count	Compte de la soumission
http://app.corkcrm.com/jobs	budget	Budget
http://app.corkcrm.com/jobs	crew	Équipe
http://app.corkcrm.com/jobs	start/end	Début/Fin
http://app.corkcrm.com/jobs	next communication	Prochaine communication
http://app.corkcrm.com/jobs	actions	Actions
http://app.corkcrm.com/jobs	untitled job	Projet sans titre
http://app.corkcrm.com/jobs	hours	Heures
http://app.corkcrm.com/jobs	N/A	N/D
http://app.corkcrm.com/jobs	communicate	Communiquer
http://app.corkcrm.com/jobs	view proposals	Voir soumissions
http://app.corkcrm.com/jobs	mark as completed	Marquer comme complété
http://app.corkcrm.com/jobs	unmark as completed	Enlever comme complété
http://app.corkcrm.com/jobs	job schedule	Horaire du projet

http://app.corkcrm.com/jobs/schedule	manage job	Gérer le projet
http://app.corkcrm.com/jobs/schedule	select a job below to continue	Sélectionner un projet ci-dessous pour continuer
http://app.corkcrm.com/jobs/schedule	job	Projet
http://app.corkcrm.com/jobs/schedule	select an option	Sélectionner une option
http://app.corkcrm.com/jobs/schedule	only jobs with signed contracts can be scheduled.	Seulement les projets avec un contrat signé peuvent être planifiés
http://app.corkcrm.com/jobs/schedule	budgeted hours	Heures budgétées
http://app.corkcrm.com/jobs/schedule	start date	Date de début
http://app.corkcrm.com/jobs/schedule	end date	Date de fin
http://app.corkcrm.com/jobs/schedule	crew	Équipe
http://app.corkcrm.com/jobs/schedule	additional crew	Équipe additionnelle
http://app.corkcrm.com/jobs/schedule	details	Détails
http://app.corkcrm.com/jobs/schedule	estimated amount	Montant estimé
http://app.corkcrm.com/jobs/schedule	remove from schedule	Enlever du calendrier
http://app.corkcrm.com/jobs/schedule	cancel	Annuler
http://app.corkcrm.com/jobs/schedule	save job	Sauvegarder projet

http://app.corkcrm.com/jobs/expenses	all	Tous
http://app.corkcrm.com/jobs/expenses	today	Aujourd'hui
http://app.corkcrm.com/jobs/expenses	this week	Cette semaine
http://app.corkcrm.com/jobs/expenses	this year	Cette année
http://app.corkcrm.com/jobs/expenses	filter by date	Filtrer par date
http://app.corkcrm.com/jobs/expenses	employee	Employé
http://app.corkcrm.com/jobs/expenses	job	Projet
http://app.corkcrm.com/jobs/expenses	description	Description
http://app.corkcrm.com/jobs/expenses	date of expense	Date de la dépense
http://app.corkcrm.com/jobs/expenses	amount	Montant
http://app.corkcrm.com/jobs/expenses	actions	Actions
http://app.corkcrm.com/jobs/expenses	edit	Modifier
http://app.corkcrm.com/jobs/expenses	delete	Supprimer
http://app.corkcrm.com/jobs/expenses	new expense	Nouvelle dépense

http://app.corkcrm.com/jobs/expenses/new	job	Projet
http://app.corkcrm.com/jobs/expenses/new	amount	Montant
http://app.corkcrm.com/jobs/expenses/new	date of expense	Date de la dépense
http://app.corkcrm.com/jobs/expenses/new	description	Description
http://app.corkcrm.com/jobs/expenses/new	save expense	Sauvegarder dépense

http://app.corkcrm.com/jobs/payments	all	Tous
http://app.corkcrm.com/jobs/payments	today	Aujourd'hui
http://app.corkcrm.com/jobs/payments	this week	Cette semaine
http://app.corkcrm.com/jobs/payments	this year	Cette année
http://app.corkcrm.com/jobs/payments	filter by date	Filtrer par date
http://app.corkcrm.com/jobs/payments	job notes	Notes de projet
http://app.corkcrm.com/jobs/payments	payment type	Type de paiement
http://app.corkcrm.com/jobs/payments	amount	Montant
http://app.corkcrm.com/jobs/payments	date	Date
http://app.corkcrm.com/jobs/payments	actions	Actions
http://app.corkcrm.com/jobs/payments	new payment	Nouveau paiement
http://app.corkcrm.com/jobs/payments	job 	Projet
http://app.corkcrm.com/jobs/payments	amount	Montant
http://app.corkcrm.com/jobs/payments	date paid	Payé le
http://app.corkcrm.com/jobs/payments	notes	Notes
http://app.corkcrm.com/jobs/payments	payment type	Type de paiement
http://app.corkcrm.com/jobs/payments	check	Chèque
http://app.corkcrm.com/jobs/payments	credit card	Carte de crédit
http://app.corkcrm.com/jobs/payments	cash	Argent comptant
http://app.corkcrm.com/jobs/payments	money order 	Mandat postal
http://app.corkcrm.com/jobs/payments	wire transfer	Transfert bancaire
http://app.corkcrm.com/jobs/payments	other	Autre
http://app.corkcrm.com/jobs/payments	save payment	Sauvegarder paiement

http://app.corkcrm.com/jobs/timecards	all	Tous
http://app.corkcrm.com/jobs/timecards	unapproved	Non approuvé
http://app.corkcrm.com/jobs/timecards	approved	Approuvé
http://app.corkcrm.com/jobs/timecards	paid	Payé
http://app.corkcrm.com/jobs/timecards	filter by staff member	Filtrer par membre du personnel
http://app.corkcrm.com/jobs/timecards	add time entry	Ajout d'une entrée de temps
http://app.corkcrm.com/jobs/timecards	list	Liste
http://app.corkcrm.com/jobs/timecards	schedule	Calendrier
http://app.corkcrm.com/jobs/timecards	month	Mois
http://app.corkcrm.com/jobs/timecards	week	Semaine
http://app.corkcrm.com/jobs/timecards	day	Jour
http://app.corkcrm.com/jobs/timecards	timecards	Feuille de temps
http://app.corkcrm.com/jobs/timecards	new timecard	Nouvelle feuille de temps
http://app.corkcrm.com/jobs/timecards	user	Utilisateur
http://app.corkcrm.com/jobs/timecards	Notice: your employees will be notified via email of any changes you make to their timecards.	Avis : Vos employés seront avisés par courriel de tous les changements que vous ferez sur leur feuille de temps.
http://app.corkcrm.com/jobs/timecards	start date & time 	Date et heure de début
http://app.corkcrm.com/jobs/timecards	end date and time	Date et heure de fin
http://app.corkcrm.com/jobs/timecards	notes	Notes
http://app.corkcrm.com/jobs/timecards	cancel 	Annuler
http://app.corkcrm.com/jobs/timecards	save	Sauvegarder

http://app.corkcrm.com/jobs/timecards?custom_date_range=1407286107000%2C1407890907572.8208&view=list	in/out	Entrée/Sortie
